الدرجة,Grade,كود الدرجة,الحجم,Size,كود الحجم,وزن الحبة,حبات/كغ,الطول,انفصال القشرة,FOB (USD),FOB (JOD),تجزئة (USD),تجزئة (JOD)
بريميوم,Premium,PR,سوبر جامبو,Super Jumbo,SJ,25 غ فأكثر,37 – 40,5.0 – 7.0 سم,0 – 10 %,,,,
بريميوم,Premium,PR,جامبو,Jumbo,J,22.0 – 24.9 غ,41 – 45,4.5 – 5.5 سم,0 – 10 %,,,,
بريميوم,Premium,PR,لارج,Large,L,17.0 – 21.9 غ,46 – 58,4.0 – 5.0 سم,0 – 10 %,,,,
بريميوم,Premium,PR,ميديوم,Medium,M,14.0 – 16.9 غ,60 – 71,3.5 – 4.5 سم,0 – 10 %,,,,
بريميوم,Premium,PR,سمول,Small,S,أقل من 14 غ,72 – 90,3.0 – 4.0 سم,0 – 10 %,,,,
بريميوم,Premium,PR,بيبي سمول,Baby Small,BS,7 – 10 غ,100 – 140,2.5 – 3.0 سم,0 – 10 %,,,,
ديلايت,Delight,DL,سوبر جامبو,Super Jumbo,SJ,25 غ فأكثر,37 – 40,5.0 – 7.0 سم,10 – 20 %,,,,
ديلايت,Delight,DL,جامبو,Jumbo,J,22.0 – 24.9 غ,41 – 45,4.5 – 5.5 سم,10 – 20 %,,,,
ديلايت,Delight,DL,لارج,Large,L,17.0 – 21.9 غ,46 – 58,4.0 – 5.0 سم,10 – 20 %,,,,
ديلايت,Delight,DL,ميديوم,Medium,M,14.0 – 16.9 غ,60 – 71,3.5 – 4.5 سم,10 – 20 %,,,,
ديلايت,Delight,DL,سمول,Small,S,أقل من 14 غ,72 – 90,3.0 – 4.0 سم,10 – 20 %,,,,
ديلايت,Delight,DL,بيبي سمول,Baby Small,BS,7 – 10 غ,100 – 140,2.5 – 3.0 سم,10 – 20 %,,,,
كلاسيك,Classic,CL,سوبر جامبو,Super Jumbo,SJ,25 غ فأكثر,37 – 40,5.0 – 7.0 سم,20 – 30 %,,,,
كلاسيك,Classic,CL,جامبو,Jumbo,J,22.0 – 24.9 غ,41 – 45,4.5 – 5.5 سم,20 – 30 %,,,,
كلاسيك,Classic,CL,لارج,Large,L,17.0 – 21.9 غ,46 – 58,4.0 – 5.0 سم,20 – 30 %,,,,
كلاسيك,Classic,CL,ميديوم,Medium,M,14.0 – 16.9 غ,60 – 71,3.5 – 4.5 سم,20 – 30 %,,,,
كلاسيك,Classic,CL,سمول,Small,S,أقل من 14 غ,72 – 90,3.0 – 4.0 سم,20 – 30 %,,,,
كلاسيك,Classic,CL,بيبي سمول,Baby Small,BS,7 – 10 غ,100 – 140,2.5 – 3.0 سم,20 – 30 %,,,,
ستاندرد,Standard,ST,سوبر جامبو,Super Jumbo,SJ,25 غ فأكثر,37 – 40,5.0 – 7.0 سم,أكثر من 30 %,,,,
ستاندرد,Standard,ST,جامبو,Jumbo,J,22.0 – 24.9 غ,41 – 45,4.5 – 5.5 سم,أكثر من 30 %,,,,
ستاندرد,Standard,ST,لارج,Large,L,17.0 – 21.9 غ,46 – 58,4.0 – 5.0 سم,أكثر من 30 %,,,,
ستاندرد,Standard,ST,ميديوم,Medium,M,14.0 – 16.9 غ,60 – 71,3.5 – 4.5 سم,أكثر من 30 %,,,,
ستاندرد,Standard,ST,سمول,Small,S,أقل من 14 غ,72 – 90,3.0 – 4.0 سم,أكثر من 30 %,,,,
ستاندرد,Standard,ST,بيبي سمول,Baby Small,BS,7 – 10 غ,100 – 140,2.5 – 3.0 سم,أكثر من 30 %,,,,
